CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ContractType,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCallsLast12Months,SatisfactionScore,Churn
CUST-00001,Male,28,No,No,Yes,41,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Electronic Check,79.77,3165.29,0,4,No
CUST-00002,Female,21,No,Yes,No,31,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Transfer (Automatic),36.69,1185.4,1,4,Yes
CUST-00003,Female,67,Yes,Yes,No,26,Yes,DSL,Yes,No,Yes,Yes,No,No,One Year,Yes,Mailed Check,65.39,1796.62,1,4,No
CUST-00004,Male,84,Yes,Yes,No,28,Yes,DSL,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Transfer (Automatic),67.9,1824.39,0,5,No
CUST-00005,Male,37,No,Yes,No,9,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,Month-to-Month,Yes,Electronic Check,98.39,842.37,0,5,Yes
CUST-00006,Female,24,No,Yes,No,62,Yes,Fiber Optic,No,Yes,Yes,No,No,No,One Year,Yes,Credit Card (Automatic),86.64,5533.64,2,4,No
CUST-00007,Male,18,No,Yes,No,20,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Mailed Check,88.74,1743.78,0,4,No
CUST-00008,Female,41,No,Yes,Yes,19,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card (Automatic),115.8,2180.29,1,5,Yes
CUST-00009,Male,40,No,No,No,33,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,101.75,3151.57,2,3,Yes
CUST-00010,Male,35,No,No,No,72,Yes,DSL,No,No,Yes,Yes,No,No,Two Year,No,Electronic Check,60.9,4062.33,0,4,No
CUST-00011,Female,49,No,No,Yes,42,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,38.55,1668.51,2,4,No
CUST-00012,Female,51,No,No,Yes,20,Yes,DSL,Yes,Yes,No,Yes,No,No,One Year,Yes,Bank Transfer (Automatic),73.76,1456.73,1,3,No
CUST-00013,Female,50,No,No,No,32,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Credit Card (Automatic),64.79,2126.96,0,4,No
CUST-00014,Female,40,No,No,No,32,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Credit Card (Automatic),92.11,3054.57,1,4,Yes
CUST-00015,Female,27,No,No,No,26,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Electronic Check,79.51,2022.45,2,2,No
CUST-00016,Female,56,No,No,No,10,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Electronic Check,72.9,712.52,1,5,Yes
CUST-00017,Female,45,No,Yes,No,43,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Mailed Check,88.99,3788.4,1,4,Yes
CUST-00018,Male,59,No,Yes,No,18,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Electronic Check,25.11,464.2,1,3,No
CUST-00019,Female,58,No,Yes,Yes,14,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Two Year,Yes,Credit Card (Automatic),89.91,1221.75,4,3,No
CUST-00020,Male,22,No,Yes,No,19,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One Year,Yes,Electronic Check,88.74,1607.82,0,5,No
CUST-00021,Female,22,No,No,No,50,Yes,DSL,Yes,No,Yes,No,Yes,No,One Year,Yes,Mailed Check,71.55,3579.4,1,3,No
CUST-00022,Male,33,No,Yes,No,17,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,33.63,599.44,0,5,No
CUST-00023,Male,28,No,No,Yes,24,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Electronic Check,113.7,2917.97,4,5,Yes
CUST-00024,Female,57,No,No,No,72,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Transfer (Automatic),90.45,6593.82,2,4,No
CUST-00025,Female,51,No,Yes,No,18,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card (Automatic),32.93,555.3,0,4,No
CUST-00026,Female,63,No,Yes,No,23,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,One Year,No,Mailed Check,94.82,2163.98,0,5,No
CUST-00027,Male,51,No,Yes,No,25,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card (Automatic),108.4,2744.17,0,4,Yes
CUST-00028,Female,48,No,Yes,No,18,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Two Year,No,Electronic Check,99.26,1724.46,1,4,No
CUST-00029,Female,64,No,No,No,23,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Credit Card (Automatic),61.6,1466.34,2,4,No
CUST-00030,Male,53,No,No,No,28,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Transfer (Automatic),66.04,1783.67,0,4,No
CUST-00031,Male,46,No,No,Yes,18,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,No,Electronic Check,71.68,1297.52,1,4,Yes
CUST-00032,Male,69,Yes,Yes,No,5,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Electronic Check,67.27,347.33,0,4,Yes
CUST-00033,Male,47,No,No,No,7,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Electronic Check,85.94,596.36,1,3,Yes
CUST-00034,Female,40,No,No,No,25,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card (Automatic),92.52,2230.11,1,4,Yes
CUST-00035,Female,32,No,Yes,No,68,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,No,Credit Card (Automatic),89.74,6272.92,3,3,No
CUST-00036,Male,56,No,Yes,No,20,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Electronic Check,76.06,1517.52,0,4,No
CUST-00037,Female,65,Yes,Yes,No,30,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Electronic Check,90.22,2742.39,0,4,Yes
CUST-00038,Female,44,No,Yes,No,53,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,One Year,Yes,Mailed Check,92.29,4801.86,2,3,Yes
CUST-00039,Male,66,Yes,No,No,36,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two Year,No,Credit Card (Automatic),73.16,2470.49,0,4,No
CUST-00040,Female,18,No,No,No,25,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Electronic Check,61.32,1535.53,0,5,No
CUST-00041,Male,44,No,Yes,Yes,23,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,One Year,No,Credit Card (Automatic),90.46,2072.73,0,5,Yes
CUST-00042,Female,44,No,No,No,15,Yes,DSL,No,No,No,No,Yes,No,Month-to-Month,Yes,Electronic Check,58.18,826.12,3,3,No
CUST-00043,Female,33,No,Yes,No,42,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,Yes,Mailed Check,94.55,4202.08,1,5,No
CUST-00044,Male,83,Yes,Yes,No,51,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Electronic Check,105.66,5517.74,1,5,No
CUST-00045,Male,44,No,No,Yes,0,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),41.38,41.38,0,4,No
